City;Crime_rate;Gun_ownership
Franklinton;0.011699016219090667;0.531
Colusa;0.001016432322547857;0.283
Fairview;0.0019665683382497543;0.516
Niota;0.002751031636863824;0.516
Cahokia;0.005986728216964801;0.278
Perham;0.001379310344827586;0.428
Fulton;0.0;0.453
Pinconning;0.0024232633279483036;0.402
SouthPasadena;0.0007786645902277594;0.353
Cortez;0.004915409236396891;0.451
BlackHawk;0.0625;0.451
Salina;0.0035816618911174787;0.547
WinterHaven;0.004229716586369908;0.353
WestLakeHills;0.0008957897879964168;0.457
LeSueur;0.0;0.428
Eugene;0.0038976111974039023;0.508
Norfork;0.0;0.572
Monroe;0.01765592929250618;0.531
BigBend;0.0;0.453
Lordstown;0.0009236453201970443;0.4
Sandwich;0.0019984012789768186;0.147
Carnegie;0.003321410321921308;0.407
St.John;0.00021647364433380236;0.448
IshpemingTownship;0.0008503401360544217;0.402
Erick;0.0;0.547
Fulton;0.002797202797202797;0.546
Iberia;0.0013351134846461949;0.488
Liberty;0.0027452222574173794;0.457
Pontiac;0.0024975470520024975;0.278
Portland;0.002422582683800295;0.468
Bryan;0.004270939144888725;0.457
LoxatacheeGroves;0.0030437188710570003;0.353
Jena;0.0008902077151335311;0.531
Stuart;0.003226984900146128;0.353
Malden;0.0026668422612188456;0.147
Versailles;0.003673469387755102;0.488
BelleairBluffs;0.0009053870529651426;0.353
OcontoFalls;0.0014321518080916578;0.453
Waverly;0.00098015192354815;0.516
Washington;0.0;0.547
Leander;0.0010927357536614803;0.457
Lapeer;0.004071187623589624;0.402
SantaClara;0.0016314332980110237;0.283
Surprise;0.0009789872447893758;0.463
WestBranch;0.0;0.402
Nolanville;0.0008504847763225039;0.457
Wickliffe;0.001254115065057219;0.4
Holton;0.0015436863229391787;0.489
McGregor;0.0040114613180515755;0.457
VineGrove;0.00046382189239332097;0.546
Etowah;0.0;0.572
BlackmanTownship;0.002297173125776985;0.402
HilltownTownship;0.0008339213548014626;0.407
InverGroveHeights;0.002186834137041606;0.428
Centreville;0.0008193363375665711;0.302
AngelsCamp;0.0015349194167306216;0.283
Elko;0.0033493519732051844;0.473
Wilmer;0.0016273393002441008;0.457
Moore;0.0017460871773707102;0.547
Clarkson;0.0;0.546
Tipton;0.0017737485218762318;0.448
Damascus;0.0;0.572
SpringfieldTownship,MahoningCounty;0.001558846453624318;0.4
Vintondale;0.0;0.407
Brownsboro;0.000779423226812159;0.457
SierraVista;0.0026179192055969308;0.463
Erlanger;0.0006921612735767433;0.546
ColomaTownship;0.0022005658597925182;0.402
Mundelein;0.0007357645553422905;0.278
St.Peters;0.002409137390158934;0.488
Sterling;0.001791867677463818;0.278
Cotati;0.005234916895694281;0.283
Energy;0.0;0.278
Tusculum;0.0;0.516
Saukville;0.00022583559168925022;0.453
Tewksbury;0.0025776476578411407;0.147
Glenpool;0.005433268319866258;0.547
Highlandville;0.0;0.488
Blackstone;0.001398751882935227;0.147
Shorewood;0.001419970464614336;0.278
LaCenter;0.0;0.546
DeweyBeach;0.017766497461928935;0.344
ForestPark;0.004360148245040331;0.278
Springfield;0.002995050285317948;0.508
Verden;0.0;0.547
Portland;0.0004309880400818877;0.236
MillCreek;0.000795880149812734;0.421
Danvers;0.0009033423667570009;0.278
Edison;0.002097902097902098;0.492
SantaClarita;0.0012700421360549831;0.283
Greendale;0.0009248061464039269;0.453
Bethany;0.000794912559618442;0.278
GlenEllyn;0.0007157683773530885;0.278
Lancaster;0.0006145526057030481;0.147
Ripon;0.000807302987021052;0.283
LakesArea;0.0011186819892199736;0.428
Shelley;0.00022609088853719196;0.601
EastLansing;0.0018366622837225806;0.402
Helena;0.005791623483509114;0.663
Stanwood;0.0015006821282401092;0.421
